Job title,Age,Industry,Salary,Bonus,total_salary,Country,State,City,Overall_experience,Field_experience,Degree,Gender,Race
executive assistant,45-54,entertainment,67000.0,0.0,67000.0,United States,California,San Francisco,21 - 30 years,5-7 years,College degree,Woman,White
consultant,25-34,business or consulting,90000.0,2000.0,61766.44656395208,Australia,Other,Melbourne,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
bookkeeper and office assistant,45-54,"accounting, banking & finance",47200.0,3500.0,50700.0,United States,Texas,Midland,31 - 40 years,5-7 years,Some college,Woman,White
medical librarian ,25-34,government and public administration,86000.0,0.0,86000.0,United States,Maryland,Bethesda,8 - 10 years,5-7 years,Master's degree,Woman,White
data management officer,25-34,government and public administration,122530.0,0.0,122530.0,United States,Virginia,Mclean,8 - 10 years,8 - 10 years,Master's degree,Woman,White
visitor services and volunteer coordinator,35-44,nonprofits,61000.0,0.0,40953.83956957692,Australia,Other,Melbourne,21 - 30 years,5-7 years,PhD,Woman,White
journeyman electrician,35-44,property or construction,94000.0,0.0,94000.0,United States,Oregon,Portland,11 - 20 years,11 - 20 years,High School,Man,White
web developer,35-44,computing or tech,80000.0,1200.0,81200.0,United States,Rhode Island,Providence,11 - 20 years,5-7 years,Master's degree,Woman,White
senior manager,45-54,government and public administration,100300.0,0.0,100300.0,United States,California,Los Angeles,31 - 40 years,11 - 20 years,Master's degree,Woman,White
assistant teaching professor ,35-44,education (higher education),56700.0,0.0,56700.0,United States,Pennsylvania,Middletown,11 - 20 years,11 - 20 years,Master's degree,Man,White
manager,45-54,government and public administration,167000.0,1500.0,168500.0,United States,Maryland,Baltimore,11 - 20 years,8 - 10 years,PhD,Woman,White
learning specialist ,25-34,education (primary/secondary),46813.0,0.0,46813.0,United States,Georgia,Atlanta,5-7 years,5-7 years,Master's degree,Woman,White
senior labour relations advisor,25-34,recruitment or hr,95860.0,0.0,71739.83916036258,Canada,Other,Vancouver,11 - 20 years,2 - 4 years,College degree,Woman,White
assistant director,25-34,education (higher education),66500.0,8000.0,74500.0,United States,District of Columbia,Washington,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
associate attorney,25-34,law,70000.0,0.0,70000.0,United States,Massachusetts,Boston,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
supervisor it financials and contract management,25-34,"accounting, banking & finance",85000.0,0.0,85000.0,United States,New York,Rochester,8 - 10 years,8 - 10 years,Master's degree,Woman,White
director of public policy & government affairs,25-34,nonprofits,105300.0,500.0,105800.0,United States,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,PhD,Woman,White
"manager, accounts payable",45-54,utilities & telecommunications,90000.0,11000.0,101000.0,United States,Iowa,Des Moines,11 - 20 years,8 - 10 years,College degree,Woman,White
senior developer,35-44,computing or tech,110000.0,0.0,110000.0,United States,Florida,Orlando,5-7 years,5-7 years,Master's degree,Man,White
communications coordinator ,45-54,nonprofits,65000.0,0.0,65000.0,United States,Massachusetts,Provincetown,21 - 30 years,11 - 20 years,Master's degree,Woman,White
ea,35-44,computing or tech,40000.0,0.0,49702.96357484752,United Kingdom,Other,London,11 - 20 years,11 - 20 years,Some college,Woman,White
library assistant ,35-44,government and public administration,28604.0,0.0,31410.0524,Ireland,Other,Dublin Ireland,11 - 20 years,5-7 years,Master's degree,Woman,White
sr. project administrator,35-44,property or construction,64500.0,0.0,64500.0,United States,Pennsylvania,Media,21 - 30 years,11 - 20 years,College degree,Woman,White
tax preparer,45-54,"accounting, banking & finance",47840.0,300.0,48140.0,United States,Colorado,Loveland,21 - 30 years,5-7 years,College degree,Woman,White
 controller ,35-44,engineering or manufacturing,102000.0,10000.0,112000.0,United States,Pennsylvania,Philadelphia,8 - 10 years,2 - 4 years,Master's degree,Woman,Another option not listed here or prefer not to answer
labourer/carpenter,25-34,property or construction,43580.0,1000.0,33362.84195461051,Canada,Other,Toronto,8 - 10 years,2 - 4 years,Some college,Man,"Asian or Asian American, White"
user researcher,25-34,computing or tech,255000.0,0.0,255000.0,United States,California,Los Angeles,8 - 10 years,8 - 10 years,College degree,Woman,White
vice president,45-54,nonprofits,92000.0,0.0,92000.0,United States,New York,New York City,21 - 30 years,21 - 30 years,College degree,Woman,White
"director, community engagement ",35-44,education (higher education),74600.0,0.0,74600.0,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,PhD,Woman,White
coordinator,55-64,education (higher education),36000.0,1500.0,37500.0,United States,Missouri,Saint Louis,31 - 40 years,21 - 30 years,College degree,Woman,White
senior business analyst,35-44,insurance,72500.0,2500.0,75000.0,United States,Wisconsin,Milwaukee,21 - 30 years,8 - 10 years,Master's degree,Woman,White
associate,25-34,law,180000.0,40000.0,220000.0,United States,New York,New York City,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
lecturer ,35-44,education (higher education),37500.0,0.0,37500.0,United States,Wisconsin,Oshkosh,8 - 10 years,8 - 10 years,PhD,Woman,White
event director,35-44,hospitality & events,65000.0,20000.0,85000.0,United States,Ohio,Columbus,11 - 20 years,11 - 20 years,Some college,Woman,White
associate director,35-44,education (higher education),75000.0,0.0,75000.0,United States,Massachusetts,Wellesley,11 - 20 years,2 - 4 years,College degree,Woman,White
pharmacist ,35-44,health care,106840.0,0.0,106840.0,United States,South Dakota,Yankton,21 - 30 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
senior engineer ,35-44,engineering or manufacturing,165000.0,0.0,165000.0,United States,Florida,Merrit Island,11 - 20 years,11 - 20 years,College degree,Man,White
it team lead,35-44,computing or tech,130000.0,0.0,130000.0,United States,North Carolina,Research Triangle Park,11 - 20 years,11 - 20 years,Some college,Woman,"Asian or Asian American, White"
bank examiner,35-44,"accounting, banking & finance",150000.0,6000.0,156000.0,United States,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Man,White
director,45-54,government and public administration,250000.0,0.0,167843.60479334803,Australia,Other,Melbourne,21 - 30 years,21 - 30 years,Master's degree,Woman,White
senior financial analyst- mergers & acquisitions ,25-34,health care,110000.0,16500.0,126500.0,United States,Massachusetts,Springfield,11 - 20 years,5-7 years,College degree,Woman,White
support specialist ,35-44,nonprofits,53000.0,0.0,53000.0,United States,Minnesota,Minneapolis,11 - 20 years,2 - 4 years,Master's degree,Woman,White
utility arborist,35-44,utilities & telecommunications,47000.0,3000.0,50000.0,United States,Kentucky,Louisville,8 - 10 years,2 - 4 years,College degree,Woman,White
hr manager,35-44,engineering or manufacturing,90000.0,0.0,90000.0,United States,Minnesota,Faribault,8 - 10 years,1 year or less,College degree,Woman,White
senior project lead,35-44,education (higher education),89500.0,0.0,89500.0,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,PhD,Woman,White
director of grants,35-44,education (higher education),81400.0,0.0,81400.0,United States,Illinois,greater Chicagoland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
corporate tax director,25-34,"accounting, banking & finance",160000.0,30000.0,190000.0,United States,California,South Lake Tahoe,8 - 10 years,8 - 10 years,Master's degree,Woman,White
senior director of marketing,25-34,"marketing, advertising & pr",180000.0,0.0,180000.0,United States,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Woman,White
department manager,35-44,retail,60000.0,1500.0,61500.0,United States,Missouri,Kansas City,11 - 20 years,11 - 20 years,College degree,Woman,White
seniors software developer,35-44,computing or tech,90000.0,0.0,67354.32426906563,Canada,Other,"Kitchener, Ontario",8 - 10 years,8 - 10 years,College degree,Woman,White
geophysicist,25-34,oil and gas,142100.0,35800.0,119437.50917094646,Australia,Other,Perth,5-7 years,5-7 years,PhD,Man,White
rn,55-64,health care,114400.0,0.0,114400.0,United States,Oregon,Portland,31 - 40 years,21 - 30 years,Master's degree,Woman,White
software engineer ii,25-34,engineering or manufacturing,95000.0,5000.0,100000.0,United States,Florida,Gainesville,5-7 years,5-7 years,Master's degree,Woman,White
associate director design + dev,45-54,"marketing, advertising & pr",176000.0,10000.0,186000.0,United States,New Jersey,Montvale,11 - 20 years,8 - 10 years,Some college,Woman,White
client service representative,25-34,insurance,44500.0,1300.0,45800.0,United States,Illinois,Schaumburg,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
geriatric social worker,35-44,social work,57000.0,0.0,57000.0,United States,Pennsylvania,Philadelphia,11 - 20 years,2 - 4 years,Master's degree,Woman,White
student recruitment,35-44,education (higher education),78000.0,0.0,58373.74769985688,Canada,Other,Winnipeg,11 - 20 years,2 - 4 years,Master's degree,Woman,White
gis programmer / analyst,35-44,computing or tech,67000.0,0.0,67000.0,United States,Alaska,Anchorage,21 - 30 years,8 - 10 years,College degree,Woman,White
e-commerce manager,25-34,retail,45000.0,0.0,33677.16213453282,Canada,Other,Toronto,2 - 4 years,2 - 4 years,Some college,Woman,White
senior campaign manager,25-34,"marketing, advertising & pr",70000.0,8000.0,78000.0,United States,Colorado,Denver,2 - 4 years,2 - 4 years,College degree,Woman,White
lead specialist,55-64,computing or tech,97000.0,0.0,97000.0,United States,Oregon,Portland,31 - 40 years,21 - 30 years,College degree,Woman,White
scrum master,35-44,computing or tech,127000.0,6400.0,133400.0,United States,Ohio,Columbus,21 - 30 years,11 - 20 years,College degree,Woman,Black or African American
president,35-44,"accounting, banking & finance",150000.0,0.0,150000.0,United States,Arizona,Tucson,11 - 20 years,11 - 20 years,College degree,Woman,White
bookkeeper,45-54,property or construction,60000.0,1000.0,61000.0,United States,Oregon,Portland,21 - 30 years,11 - 20 years,College degree,Woman,White
hr business partner,35-44,engineering or manufacturing,100000.0,15000.0,86063.85878825052,Canada,Other,Plattsville,21 - 30 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
executive assistant,25-34,education (higher education),120910.0,0.0,81175.88102225485,Australia,Other,Sydney,8 - 10 years,5-7 years,Master's degree,Woman,White
inclusion strategist ,35-44,business or consulting,82500.0,0.0,82500.0,United States,New York,Albany,11 - 20 years,1 year or less,PhD,Woman,White
community manager ,55-64,shared office space,48000.0,2000.0,50000.0,United States,Illinois,Chicago,31 - 40 years,31 - 40 years,College degree,Woman,White
director,35-44,entertainment,75000.0,0.0,75000.0,United States,Oregon,Portland,8 - 10 years,8 - 10 years,College degree,Woman,White
designer of specialty ceiling products,25-34,art & design,60000.0,1500.0,61500.0,United States,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
store manager ,45-54,retail,60.0,0.0,60.0,United States,Maryland,Bethesda,11 - 20 years,5-7 years,College degree,Woman,White
assistant national director ,55-64,labor union,70000.0,0.0,70000.0,United States,Illinois,Chicago,21 - 30 years,5-7 years,College degree,Woman,White
brewmaster,35-44,beverage production,52600.0,10000.0,62600.0,United States,Ohio,Columbus,11 - 20 years,8 - 10 years,College degree,Man,White
arbitration rep,25-34,insurance,56000.0,0.0,56000.0,United States,Illinois,Lisle,5-7 years,5-7 years,College degree,Woman,White
virtual assistant,45-54,business or consulting,125000.0,7000.0,132000.0,United States,Florida,Tampa,21 - 30 years,21 - 30 years,Some college,Woman,White
office manager,45-54,nonprofits,43800.0,0.0,43800.0,United States,Vermont,Brattleboro,21 - 30 years,8 - 10 years,College degree,Woman,White
consumer safety officer/specialist,35-44,government and public administration,115000.0,5000.0,120000.0,United States,California,Long Beach,21 - 30 years,11 - 20 years,College degree,Woman,Black or African American
"vice president, clinical affairs",45-54,engineering or manufacturing,220000.0,20000.0,240000.0,United States,California,Los Angeles,11 - 20 years,11 - 20 years,PhD,Woman,White
operations manager,35-44,hospitality & events,68000.0,0.0,68000.0,United States,Maryland,Baltimore,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
"research director, medical school",55-64,education (higher education),117000.0,0.0,117000.0,United States,Minnesota,Minneapolis,31 - 40 years,11 - 20 years,Master's degree,Woman,Native American or Alaska Native
nurse ,55-64,health care,101500.0,0.0,101500.0,United States,Oregon,Portland,21 - 30 years,11 - 20 years,Master's degree,Woman,White
software engineer ii,25-34,computing or tech,140000.0,0.0,140000.0,United States,California,San Francisco,11 - 20 years,2 - 4 years,College degree,Woman,White
senior associate,18-24,computing or tech,82000.0,1500.0,83500.0,United States,Virginia,Northern Virginia,2 - 4 years,2 - 4 years,College degree,Man,White
medical technologist ii,35-44,health care,90000.0,0.0,90000.0,United States,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Woman,White
superintendent ,25-34,property or construction,71500.0,25000.0,96500.0,United States,Oregon,Portland,11 - 20 years,8 - 10 years,College degree,Man,Another option not listed here or prefer not to answer
senior consultant,25-34,consulting,135000.0,0.0,135000.0,United States,New York,New York City,2 - 4 years,2 - 4 years,Master's degree,Man,Asian or Asian American
technical project manager,35-44,computing or tech,75500.0,0.0,75500.0,United States,Illinois,"Chicago, IL",11 - 20 years,11 - 20 years,High School,Man,White
marketing manager,25-34,computing or tech,110000.0,20000.0,130000.0,United States,New Jersey,Remote,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
payor support specialist ,55-64,health care,40560.0,7000.0,47560.0,United States,Pennsylvania,Pittsburgh,31 - 40 years,21 - 30 years,College degree,Woman,White
nuclear research facility engineer,55-64,engineering or manufacturing,130000.0,0.0,130000.0,United States,Idaho,Idaho Falls,31 - 40 years,31 - 40 years,College degree,Man,White
junior digital associate,18-24,political consulting ,48000.0,1000.0,49000.0,United States,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,Some college,Woman,White
manager,35-44,energy,265000.0,15000.0,280000.0,United States,Texas,Houston,11 - 20 years,11 - 20 years,PhD,Man,White
gis analyst,35-44,engineering or manufacturing,64700.0,3000.0,67700.0,United States,Pennsylvania,Harrisburg,5-7 years,2 - 4 years,Master's degree,Woman,White
veterinary specialist,45-54,health care,160000.0,0.0,107419.90706774274,Australia,Other,Sydney,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
executive assistant,45-54,"accounting, banking & finance",70000.0,10000.0,59870.51046139167,Canada,Other,Toronto,21 - 30 years,21 - 30 years,College degree,Woman,White
accounts payable specialist,25-34,"accounting, banking & finance",50000.0,2000.0,52000.0,United States,Arizona,Phoenix,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
volunteer coordinator,35-44,health care,61000.0,0.0,61000.0,United States,Massachusetts,Newton,11 - 20 years,5-7 years,Master's degree,Woman,White
marketing and communications coordinator,35-44,nonprofits,41500.0,0.0,41500.0,United States,Minnesota,St. Paul,11 - 20 years,2 - 4 years,College degree,Woman,White
engineer,35-44,engineering or manufacturing,123000.0,10000.0,133000.0,United States,Minnesota,Shakopee,11 - 20 years,11 - 20 years,College degree,Woman,White
customer service manager,45-54,manufacturing ,89000.0,20000.0,81573.57050364616,Canada,Other,"London, Ontario",11 - 20 years,5-7 years,College degree,Woman,White
solution architect,45-54,computing or tech,145000.0,0.0,97349.29078014186,Australia,Other,Melbourne,31 - 40 years,31 - 40 years,High School,Man,White
software engineer,45-54,engineering or manufacturing,165000.0,20000.0,185000.0,United States,Virginia,Northern VA,21 - 30 years,11 - 20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
system consultant,45-54,computing or tech,72000.0,0.0,72000.0,United States,Oregon,Virtual,11 - 20 years,11 - 20 years,College degree,Woman,White
quality data analyst,35-44,health care,96000.0,9600.0,105600.0,United States,Pennsylvania,Allentown,11 - 20 years,11 - 20 years,Master's degree,Woman,White
graduate teaching assistant,35-44,education (higher education),15000.0,0.0,15000.0,United States,Alabama,Tuscaloosa,2 - 4 years,2 - 4 years,Master's degree,Woman,White
senior technical writer/editor,35-44,business or consulting,90000.0,0.0,90000.0,United States,New York,New York City,11 - 20 years,1 year or less,Master's degree,Woman,White
research scientist ,35-44,nonprofits,67000.0,0.0,67000.0,United States,Hawaii,Wailuku,11 - 20 years,8 - 10 years,Master's degree,Woman,White
librarian,35-44,public libraries ,65000.0,0.0,65000.0,United States,Minnesota,Minneapolis,21 - 30 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
chief of staff,35-44,nonprofits,100000.0,5000.0,105000.0,United States,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
arts education director,25-34,nonprofits,19000.0,100.0,19100.0,United States,Wisconsin,St. Croix Falls,2 - 4 years,2 - 4 years,College degree,Woman,White
clinical lab scientist,18-24,health care,47000.0,2000.0,49000.0,United States,Wisconsin,Madison,2 - 4 years,2 - 4 years,College degree,Woman,White
executive assistant,25-34,business or consulting,45000.0,5000.0,50000.0,United States,Mississippi,Oxford,5-7 years,2 - 4 years,College degree,Woman,White
marketing manager,25-34,government and public administration,70000.0,0.0,70000.0,United States,New York,New York City,8 - 10 years,8 - 10 years,Master's degree,Woman,White
senior reporting analyst,35-44,"accounting, banking & finance",66000.0,0.0,66000.0,United States,Ohio,Akron,11 - 20 years,8 - 10 years,College degree,Woman,White
sales associate/marketing coordinator,25-34,retail,31000.0,0.0,31000.0,United States,Vermont,Burlington,8 - 10 years,2 - 4 years,College degree,Woman,White
sas platform administrator,45-54,computing or tech,95000.0,0.0,95000.0,United States,Texas,Houston,21 - 30 years,21 - 30 years,College degree,Woman,White
assistant manager ,35-44,veterinary,33000.0,0.0,33000.0,United States,Colorado,Denver CO,11 - 20 years,5-7 years,College degree,Woman,White
senior mechanical engineer,35-44,engineering or manufacturing,139500.0,2000.0,141500.0,United States,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
senior associate ,35-44,law,70000.0,4000.0,74000.0,United States,Virginia,McLean though I travel some,21 - 30 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
research associate,35-44,"social science research - not quite academia, not quite nonprofit, not quite consulting",91000.0,3000.0,94000.0,United States,California,San Francisco Bay area,11 - 20 years,11 - 20 years,Master's degree,Woman,White
staff accountant ii,55-64,"accounting, banking & finance",66000.0,0.0,66000.0,United States,Washington,Vancouver,31 - 40 years,31 - 40 years,College degree,Woman,White
director,25-34,"marketing, advertising & pr",87500.0,8000.0,95500.0,United States,District of Columbia,Washington DC,5-7 years,5-7 years,Master's degree,Man,Asian or Asian American
environmental protection specialist ,45-54,government and public administration,64800.0,0.0,64800.0,United States,Texas,Fort Hood,21 - 30 years,2 - 4 years,College degree,Man,White
customer success manager,35-44,computing or tech,82500.0,8250.0,90750.0,United States,Colorado,Denver,8 - 10 years,8 - 10 years,College degree,Woman,White
patient services,25-34,health care,44720.0,0.0,44720.0,United States,Washington,Seattle,5-7 years,2 - 4 years,Master's degree,Woman,White
inventory analyst,18-24,computing or tech,70500.0,3500.0,74000.0,United States,North Carolina,Raleigh,2 - 4 years,2 - 4 years,College degree,Woman,White
test engineer,25-34,engineering or manufacturing,75000.0,0.0,75000.0,United States,North Carolina,Durham,2 - 4 years,2 - 4 years,College degree,Woman,White
compliance consultant (lawyer),25-34,insurance,59000.0,4000.0,63000.0,United States,Iowa,Des Moines metro,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
billing specialist,25-34,utilities & telecommunications,70000.0,10000.0,80000.0,United States,Louisiana,Baton Rouge,11 - 20 years,8 - 10 years,College degree,Woman,"Black or African American, White"
program specialist ,45-54,government and public administration,128000.0,0.0,128000.0,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,College degree,Woman,Black or African American
"director, clinical operations ",45-54,biotech/pharmaceuticals,222000.0,120000.0,342000.0,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,Some college,Woman,White
paralegal ,35-44,law,55000.0,2000.0,57000.0,United States,Missouri,Kansas City,8 - 10 years,5-7 years,College degree,Woman,White
investigative counsel,35-44,law,161730.0,3000.0,164730.0,United States,District of Columbia,Washington,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,White
loan origination,35-44,"accounting, banking & finance",65000.0,0.0,65000.0,United States,Illinois,Chicago suburbs,11 - 20 years,8 - 10 years,College degree,Woman,White
speech-language pathologist,35-44,education (primary/secondary),67000.0,0.0,67000.0,United States,Maine,South portland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
senior project planner,25-34,government and public administration,100000.0,0.0,67137.44191733921,New Zealand,Other,Regional,8 - 10 years,5-7 years,Master's degree,Woman,White
qa analyst,35-44,computing or tech,75000.0,0.0,75000.0,United States,Idaho,Boise,11 - 20 years,8 - 10 years,College degree,Woman,White
office manager,45-54,business or consulting,60000.0,0.0,60000.0,United States,Colorado,Denver,11 - 20 years,11 - 20 years,College degree,Woman,White
senior therapist ,35-44,social work,70000.0,0.0,70000.0,United States,New York,Rochester,11 - 20 years,11 - 20 years,Master's degree,Woman,White
clinical psychologist ,35-44,health care,117516.0,0.0,117516.0,United States,West Virginia,Martinsburg,11 - 20 years,8 - 10 years,PhD,Woman,White
food processing inspector,35-44,government and public administration,80000.0,5000.0,63612.417365228655,Canada,Other,Edmonton,21 - 30 years,21 - 30 years,College degree,Woman,White
senior quality control analyst,25-34,engineering or manufacturing,70000.0,15000.0,85000.0,United States,Colorado,Longmont,5-7 years,5-7 years,College degree,Woman,White
associate manager,35-44,"accounting, banking & finance",71750.0,5740.0,77490.0,United States,California,Los Angeles,11 - 20 years,2 - 4 years,Some college,Man,White
senior marketing and communications coordinator,25-34,nonprofits,50000.0,0.0,50000.0,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
rbt,25-34,health care,48000.0,0.0,48000.0,United States,Florida,Tampa,8 - 10 years,2 - 4 years,College degree,Woman,White
vp operations,45-54,health care,175000.0,0.0,175000.0,United States,New York,Pelham,21 - 30 years,11 - 20 years,Master's degree,Woman,White
librarian,45-54,library,65000.0,0.0,65000.0,United States,New York,New York City,21 - 30 years,5-7 years,Master's degree,Man,White
accounts payable,45-54,government and public administration,28000.0,0.0,28000.0,United States,New Mexico,Truth or Consequences,21 - 30 years,8 - 10 years,College degree,Woman,"White, Another option not listed here or prefer not to answer"
hospice rn,45-54,health care,87360.0,0.0,87360.0,United States,Oregon,Hillsboro,11 - 20 years,5-7 years,College degree,Woman,White
assistant retail manager,25-34,retail,41000.0,600.0,41600.0,United States,California,Berkeley,11 - 20 years,2 - 4 years,College degree,Woman,Asian or Asian American
application security engineer ,35-44,computing or tech,100000.0,0.0,100000.0,United States,Kansas,Overland Park,11 - 20 years,5-7 years,College degree,Man,White
svp,35-44,"accounting, banking & finance",130000.0,25000.0,155000.0,United States,Tennessee,Nashville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
recruiting manager,25-34,recruitment or hr,60000.0,2000.0,62000.0,United States,Indiana,Oakbrook Terrace,5-7 years,5-7 years,College degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin, Native American or Alaska Native, White"
bookkeeper/office manager,55-64,"accounting, banking & finance",62400.0,2500.0,64900.0,United States,California,Pasadena,31 - 40 years,11 - 20 years,Master's degree,Woman,White
senior software engineer,35-44,computing or tech,158000.0,150000.0,308000.0,United States,Colorado,Boulder,11 - 20 years,11 - 20 years,College degree,Woman,White
research associate,35-44,nonprofits,91000.0,3000.0,94000.0,United States,California,Oakland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
mechanical engineer,25-34,engineering or manufacturing,150000.0,5000.0,155000.0,United States,California,Dublin,5-7 years,5-7 years,PhD,Man,Asian or Asian American
sales administrator,25-34,real estate development,50000.0,8000.0,43406.12008450896,Canada,Other,"Vancouver, British Columbia",8 - 10 years,5-7 years,College degree,Woman,White
benefits officer,45-54,government and public administration,62150.0,4000.0,49505.42833776324,Canada,Other,Edmonton,21 - 30 years,2 - 4 years,College degree,Woman,White
mechanical engineer,18-24,engineering or manufacturing,83000.0,0.0,83000.0,United States,Wisconsin,La Crosse,2 - 4 years,2 - 4 years,College degree,Woman,White
executive admin,45-54,health care,68000.0,2500.0,70500.0,United States,Virginia,Fairfax,21 - 30 years,5-7 years,Some college,Woman,White
office manager,25-34,renewable energy,75000.0,3500.0,78500.0,United States,Illinois,Chicago,11 - 20 years,5-7 years,Master's degree,Woman,White
program director,35-44,nonprofits,71000.0,3550.0,74550.0,United States,Texas,Houston,5-7 years,5-7 years,Master's degree,Woman,White
systems analyst,25-34,"accounting, banking & finance",64000.0,8000.0,72000.0,United States,New Hampshire,Merrimack,11 - 20 years,1 year or less,College degree,Woman,White
apple platforms engineer,35-44,computing or tech,140000.0,0.0,140000.0,United States,Michigan,Detroit,11 - 20 years,8 - 10 years,College degree,Woman,White
special education teacher,25-34,education (primary/secondary),49000.0,0.0,49000.0,United States,Iowa,Central Iowa,1 year or less,1 year or less,College degree,Woman,White
research fellow,25-34,education (higher education),37008.0,0.0,45985.18189944893,United Kingdom,Other,London,2 - 4 years,2 - 4 years,PhD,Woman,White
office manager,25-34,"accounting, banking & finance",82000.0,3000.0,85000.0,United States,Illinois,Chicago,11 - 20 years,5-7 years,Master's degree,Woman,White
supervisor,55-64,social work,90000.0,0.0,90000.0,United States,Massachusetts,Chelmsford,11 - 20 years,11 - 20 years,Master's degree,Woman,White
business support consultant,45-54,"accounting, banking & finance",65300.0,2000.0,67300.0,United States,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree,Woman,White
quantitative analyst,25-34,"accounting, banking & finance",160000.0,160000.0,320000.0,United States,New York,New York City,5-7 years,5-7 years,College degree,Man,Asian or Asian American
assistant director ,35-44,education (higher education),83000.0,0.0,83000.0,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
associate research specialist,18-24,education (higher education),36400.0,0.0,36400.0,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Woman,White
curriculum designer ,25-34,computing or tech,104000.0,5000.0,109000.0,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,PhD,Woman,White
covid case investigation supervisor,25-34,government and public administration,90000.0,0.0,90000.0,United States,Virginia,Richmond,5-7 years,5-7 years,Master's degree,Woman,White
it technical support analyst,55-64,utilities & telecommunications,98000.0,1500.0,99500.0,United States,Connecticut,Monroe,31 - 40 years,21 - 30 years,College degree,Woman,White
sap material master specialist,35-44,engineering or manufacturing,65000.0,5000.0,70000.0,United States,Washington,Tacoma,11 - 20 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
accounts receivable associate,55-64,utilities & telecommunications,29120.0,0.0,29120.0,United States,Maryland,Forest Hill,31 - 40 years,11 - 20 years,College degree,Woman,White
advisor ,25-34,government and public administration,87500.0,0.0,87500.0,United States,District of Columbia,washington dc,5-7 years,2 - 4 years,Master's degree,Woman,Black or African American
high school english teacher,25-34,education (primary/secondary),53000.0,6000.0,59000.0,United States,Iowa,Eastern Iowa,5-7 years,5-7 years,Master's degree,Woman,White
commercial real estate underwriter,35-44,"accounting, banking & finance",185000.0,25000.0,210000.0,United States,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
math coach,25-34,education (primary/secondary),53000.0,2000.0,55000.0,United States,Arizona,Tempe,8 - 10 years,8 - 10 years,Master's degree,Woman,White
adjunct instructor,25-34,education (higher education),32000.0,2000.0,34000.0,United States,Arizona,Phoenix/Tempe,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
consultant,35-44,business or consulting,283000.0,0.0,283000.0,United States,Ohio,Cincinnati,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Another option not listed here or prefer not to answer
software developer,55-64,computing or tech,79000.0,0.0,79000.0,United States,South Carolina,Clemson,21 - 30 years,21 - 30 years,College degree,Woman,White
senior scientist,25-34,computing or tech,120000.0,0.0,80564.93030080706,New Zealand,Other,Wellington,5-7 years,5-7 years,PhD,Woman,"White, Another option not listed here or prefer not to answer"
accounting manager,45-54,manufacturing ,78500.0,5000.0,83500.0,United States,Ohio,Cincinnati,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
